time;modality;value;C_prot;value_base;activity
j5;10µg/L_day5;0,034;2,731;0,185708;2,17456674473068
j5;10µg/L_day5;0,03;2,75;0,165;1,93208430913349
j5;10µg/L_day5;0,04;2,665;0,2132;2,49648711943794
j5;10µg/L_day5;0,043;2,776;0,238736;2,79550351288056
j5;10µg/L_day5;0,03;2,658;0,15948;1,86744730679157
j5;10µg/L_day5;0,022;2,728;0,120032;1,40552693208431
j5;10µg/L_day5;0,022;2,938;0,129272;1,51372365339578
j5;100µg/L_day5;0,012;2,642;0,063408;0,74248243559719
j5;100µg/L_day5;0,022;2,5;0,11;1,28805620608899
j5;100µg/L_day5;0,035;1,326;0,09282;1,08688524590164
j5;100µg/L_day5;0,022;1,975;0,0869;1,0175644028103
j5;100µg/L_day5;0,023;2,804;0,128984;1,51035128805621
j10;10µg/L_day10;-0,023;2,457;-0,113022;-0,655580046403712
j10;10µg/L_day10;0,053;1,779;0,188574;1,09381670533643
j10;10µg/L_day10;-0,011;2,887;-0,063514;-0,368410672853828
j10;10µg/L_day10;0,006;2,962;0,035544;0,206171693735499
j10;100µg/L_day10;0,005;1,965;0,01965;0,113979118329466
j10;100µg/L_day10;0,029;2,32;0,13456;0,780510440835267
j10;100µg/L_day10;0,012;2,974;0,071376;0,414013921113689
j10;100µg/L_day10;0,027;2,647;0,142938;0,829106728538283
j10;100µg/L_day10;0,007;2,087;0,029218;0,169477958236659
