number;time;modality;AI;AF;(AI-AF)*4/3;C_prot;value_f;activity
9;j5;10µg/L_day5;0,045;0,041;0,000266666666666666;2,456;0,126253061636745;1,68562165069085
10;j5;10µg/L_day5;0,06;0,053;0,000466666666666667;2,587;0,209754796642725;2,80046457466922
11;j5;10µg/L_day5;0,088;0,076;0,0008;2,941;0,316298047650301;4,22293788585182
14;j5;10µg/L_day5;0,085;0,073;0,000800000000000001;2 ,935;0,3169;4,23097463284379
16;j5;10µg/L_day5;0,129;0,114;0,001;2,979;0,390329203650359;5,21133783244805
19;j5;100µg/L_day5;0,109;0,105;0,000266666666666667;2,996;0,103497169352418;1,38180466425125
20;j5;100µg/L_day5;0,097;0,09;0,000466666666666667;2,901;0,187051244024381;2,49734638216797
21;j5;100µg/L_day5;0,118;0,106;0,0008;2,62;0,355050594709746;4,74032836728633
9;j10;10µg/L_day10;0,058;0,042;0,00106666666666667;2,799;0,443126144165552;1,17012448947862
10;j10;10µg/L_day10;0,018;0,014;0,000266666666666667;1,695;0,182936589604628;0,483064667559092
11;j10;10µg/L_day10;0,036;0,029;0,000466666666666666;2,844;0,190800161362422;0,503829314397735
12;j10;10µg/L_day10;0,024;0,02;0,000266666666666667;1,7;0,182398540811674;0,481643889125095
14;j10;10µg/L_day10;0,085;0,071;0,000933333333333334;2,968;0,365657452098874;0,965559683387574
16;j10;100µg/L_day10;0,025;0,023;0,000133333333333333;2,559;0,0605856817858236;0,159983316043897
18;j10;100µg/L_day10;0,048;0,046;0,000133333333333333;2,722;0,056957663368818;0,150403124818638
19;j10;100µg/L_day10;0,077;0,064;0,000866666666666666;2,682;0,375746434744406;0,992200778305798
20;j10;100µg/L_day10;0,055;0,053;0,000133333333333333;2,97;0,0522016025891995;0,137844210692367
21;j10;100µg/L_day10;0,09;0,082;0,000533333333333333;2,91;0,213111697168278;0,562745437465746
