time;modality;value;C_prot;activity
j10;ctrl;0,065;2,919;0,37947
j10;ctrl;0,025;2,297;0,11485
j10;ctrl;0,016;1,903;0,060896
j10;ctrl;0,031;2,781;0,172422
j10;ctrl;0,051;2,768;0,282336
j10;10µg/L;-0,023;2,457;-0,113022
j10;10µg/L;0,053;1,779;0,188574
j10;10µg/L;-0,011;2,887;-0,063514
j10;10µg/L;0,006;2,962;0,035544
j10;100µg/L;0,005;1,965;0,01965
j10;100µg/L;0,055;2,759;0,30349
j10;100µg/L;0,029;2,32;0,13456
j10;100µg/L;0,012;2,974;0,071376
j10;100µg/L;0,027;2,647;0,142938
j10;100µg/L;0,007;2,087;0,029218
